unique(rios_data_token3it$it_tokens_3w),dei_related
re introduce students,TRUE
help students humanize,TRUE
students humanize researchers,TRUE
used active learning,TRUE
possible see active,TRUE
see active learning,TRUE
lesson challenged students,TRUE
students directly approached,TRUE
directly approached questions,FALSE
interviews students asked,TRUE
students asked researchers,TRUE
students might not,TRUE
might not otherwise,FALSE
think pair share,FALSE
pair share activities,FALSE
writing via quick,FALSE
via quick writes,FALSE
different roles producing,FALSE
roles producing giving,FALSE
producing giving feedback,FALSE
giving feedback revising,FALSE
feedback revising within,FALSE
participate fully using,TRUE
inclusive teaching laid,TRUE
collaborative teaching strategies,TRUE
student conceived norms,FALSE
introduced challenging descriptions,FALSE
interest drive motivation,TRUE
natural science including,FALSE
life sciences based,FALSE
research interests students,TRUE
interests students formed,TRUE
students formed groups,TRUE
strengths became immediately,TRUE
became immediately clear,FALSE
lesson explicitly addresses,TRUE
still not universal,TRUE
not universal see,TRUE
universal see diversity,TRUE
also gained agency,TRUE
exploration group work,FALSE
group work can,FALSE
recommend using smaller,TRUE
using smaller groups,FALSE
students within groups,TRUE
also recommend forming,TRUE
recommend forming groups,TRUE
whenever possible groups,FALSE
lesson employs instructional,FALSE
employs instructional materials,FALSE
students can work,TRUE
individual backgrounds needs,TRUE
needs learning abilities,TRUE
styles poppitmeiosis encourages,TRUE
poppitmeiosis encourages learning,TRUE
can quickly engage,TRUE
task poppitmeiosis thus,FALSE
poppitmeiosis thus naturally,FALSE
thus naturally creates,FALSE
thereby enhances appreciation,FALSE
sexually reproducing organisms,TRUE
reproducing organisms plants,FALSE
organisms plants animals,FALSE
high throughput datasets,FALSE
potential case studies,FALSE
case studies can,FALSE
screen reader friendly,TRUE
editable electronic documents,TRUE
used google docs,FALSE
virtually often asynchronously,FALSE
multiple potential responses,FALSE
foster productive discussions,TRUE
future experiments prompting,TRUE
experiments prompting students,TRUE
high throughput technologies,FALSE
example see supporting,FALSE
see supporting file,FALSE
organelle shape matter,FALSE
shape matter teaching,FALSE
matter teaching notes,FALSE
teaching notes additionally,TRUE
accomplished using several,TRUE
using several student,FALSE
several student centered,FALSE
student centered active,TRUE
centered active learning,TRUE
active learning techniques,TRUE
learning techniques including,FALSE
techniques including group,FALSE
including group work,FALSE
group work think,FALSE
