Title,DOI,Article Type?,Year ,Courses:,keyword themes,Inclusive Teaching  included?,Inclusive Teaching Description,Word Count of Inclusive Teaching?,,,Notes,,
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences,https://doi.org/10.24918/cs.2022.1,Lesson,2022,"proffessional development and career planning, science process skills","research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models",yes,"This lesson was designed to both introduce (or re-introduce) students to the importance of diversity in science, as well as to help students humanize researchers for themselves. We used active learning to make the teaching and classroom activities as inclusive as possible (see “Active Learning,” above).

This lesson challenged students to uncover their understandings about who can and does do research, while at the same time allowing them to learn more about a research area that particularly interested them. Students directly approached questions of bias and inclusion in STEM, both through discussions and by reflecting on social aspects of their own education related to their interests in science and research. In their interviews, students asked researchers about their personal journeys and struggles, which uncovered elements of humanity in faculty and instructors that students might not otherwise have learned about.

Student engagement was facilitated by instructors to ensure that students were able to contribute verbally (in discussions and think-pair-share activities), through writing (via quick writes), and in a variety of different roles (producing, giving feedback, revising) within their small groups. These activities were intended to ensure that all students were able to participate fully using their skills and strengths.

In accordance with the principles of inclusive teaching laid out by Kimberly Tanner (23), we employed a variety of low-stakes and collaborative teaching strategies to facilitate the group work. We were particularly careful to make sure that student-conceived norms for the classroom were applied and revisited throughout the course (22–24). This was especially important during discussions of inclusion, equity, and diversity, which introduced challenging descriptions of gender and racial bias that some students had not encountered in a classroom before.

Because student choice and interest drive motivation and ownership (22, 25–27), students had a wide range of topics to explore (anything that fell under the flexible rubric of “natural science”, including both physical and life sciences). Based on their scientific and research interests, students formed groups, which were different from previous groups that they had worked with. Thus, within the classroom, the diversity of student interests and strengths became immediately clear to all participants. 

This lesson explicitly addresses the roles that identity plays in scientists’ lives and work. We used principles of inclusive teaching to ensure participation by all students at the same time that we explored how and why participation in science is still not universal (See “diversity in science” below). By providing students with choice, they also gained agency and self-efficacy in their own education and exploration.

Group work is inherent to this lesson plan. We acknowledge that group work can be prohibitively difficult for students with extracurricular pressures and responsibilities such as work, commutes, and family. Therefore, we recommend using smaller groups (3-4 students) rather than larger groups so that students within groups are better able to find times to meet outside of class. We also recommend forming groups with heterogeneity in mind; groups should have students with different levels of previous experience and competency levels in regard to the subject matter (28). For students from underrepresented backgrounds and identities, we recommend that whenever possible, groups do not have only one representative from that underrepresented background to prevent feelings of isolation (29).
",528,,,Things we should include : Teaching; Intended audience (for context); furture directions maybe? (On student thoughts on active learning - Review article); Leasson Learning Objectives/Goals - could be proxy to outcomes as well?; maybe confounding interests?!;  ,,
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis,https://doi.org/10.24918/cs.2022.2,Lesson,2022,"cell biology, genetics, introduction biology","meiosis, chiasma formation, chromosome recombination",Yes,"PoppitMeiosis is designed to be adaptable for a wide range of curricula, and under the widest of circumstances – in a lecture course or seminar, in a classroom, in a laboratory setting, and for ‘self-teaching’ in a home situation. The lesson employs instructional materials that are easily and widely available, and with which students can work at their own pace and depth, depending on their individual backgrounds, needs, learning abilities and styles. PoppitMeiosis encourages learning and understanding of chromosomes in meiosis, the teaching of which has been a challenge for generations of educators. Poppit’s hands-on approach is inviting to students of virtually all learning styles and abilities. It offers ways they can quickly engage with the material at hand and therefore be encouraged to talk, listen, and interact on the task. PoppitMeiosis thus naturally creates an atmosphere that improves understanding of meiosis and thereby enhances appreciation of the significance of meiosis, as it relates to all sexually reproducing organisms: plants, animals and humans.
",163,,,,2022,43
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging,https://doi.org/10.24918/cs.2022.3,Lesson,2022,"Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills","modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology",Yes,"This lesson was designed to be approachable to and accessible by a broad range of learners in order to expose students to high-throughput datasets and their potential. Case studies can be adapted to a variety of courses and formats. We have implemented this case as a series of handouts formatted for ADA accessibility to be screen-reader friendly. We provide the worksheets both as physical handouts and as editable electronic documents. We have used Google Docs to encourage groups of students to work collaboratively, both in class and virtually (often asynchronously). In-class discussions are used to facilitate contributions by all participants. Several of the questions have multiple potential responses and can be used to foster productive discussions about the methodology and future experiments, prompting students to think critically about high-throughput technologies, for example. See Supporting File S3. Does Organelle Shape Matter? - Teaching Notes.

Additionally, in-class administration of the case can be accomplished using several student-centered active learning techniques including group work, think-pair-share, and whip around to promote learning (15). Case studies can be used as low-stakes assignments to foster productive discussions, use of high-throughput databases and resources, and quantitative skills. Instructors are encouraged to allow students to submit completed cases in alternative formats including audio and video files.
",207,,,,2021,45
Learning Quantitative Genetics: Investigation of Genetic Control for Cold Stress Response in Plants,https://doi.org/10.24918/cs.2022.4,Lesson,2022,Genetics,"data analysis, recombination, plants, quantitative genetics, abiotic stress response, genetic control of complex traits, inheritance of complex traits",Yes,"This laboratory series provides authentic research opportunities embedded in the curriculum. While many students find summer research opportunities more demanding, highly competitive, and less accessible due to students’ obligations outside of school, course-embedded research opportunities allow all students to engage in science (16). Students with different attitudes toward science, different preferences for lab work and computational data analysis, and different levels of prior knowledge work together in small teams. This laboratory series involves investigating plant genetics, a topic frequently omitted from genetics courses, thus attempting to address “plant awareness disparity,” lack of plant-related topics in many college biology courses. Students discuss, observe, and investigate genetic diversity of maize lines and make connections to genetic diversity in human populations.
",118,,,,2020,53
Using Open-Source Bioinformatics and Visualization Tools to Explore the Structure and Function of SARS-CoV-2 Spike Protein,https://doi.org/10.24918/cs.2022.5,Lesson,2022,"Biochemistry and Molecular Biology, Bioinformatics, Science Process Skills","bioinformatics, molecular modeling, COVID19, protein structure and function, UCSF Chimera, SARS-CoV-2 spike protein, ACE2 receptor",yes,"“Giving students opportunities to think and talk about biology” (16)
“Allow students time to write”
Each student works through each assignment at their own pace, while still being able to work with teaching assistants and instructors for help. This gives the individual student the time needed to work through the different computational tools and think through the given assignments.
“Building an inclusive and fair biology classroom for all students” (16)
“Integrate culturally diverse and relevant examples”
The students worked with the SARS-CoV-2 protein responsible for the COVID-19 disease and pandemic. They used molecular modeling to interrogate the structure of the main domain of the SARS-CoV-2 spike protein that is responsible for the interaction with and infectivity of humans by this virus. 
“Monitoring (your own and students’) behavior to cultivate divergent biological thinking” (16)
“Ask open-ended questions”
Each assignment contained open-ended questions. Answers could vary between students. These questions were assessed based on the clarity of explanation and communication. 
“Promoting engagement and self-efficacy” (20)
It was emphasized to students that the computational and molecular visualization tools were used in academic and industrial research efforts. 
It was emphasized that the protein structures of the SARS-CoV-2 spike protein and the human ACE2 receptor that were used in this project are also used by experts to interrogate the interaction and identify possible therapeutic interventions.",212,,,"Had this under Lesson Learning goals: is this the same thing as Vision and Change Core Concepts??   ""From Vision and Change:
“Structure and function: Basic units of structure define the function of all living things.”
“Ability to use modeling and simulation: Biology focuses on the study of complex systems”
“Ability to tap into the interdisciplinary nature of science: Biology is an interdisciplinary science.”",2019,46
"Electron Location, Location, Location: Understanding Biological Interactions",https://doi.org/10.24918/cs.2022.6,Lesson,2022,"Biochemistry and Molecular Biology, Introductory Biology","hydrogen bonds, hydrophobicity/hydrophilicity, polar and non-polar covalent bonds",Yes,"In large classrooms we use random call to help increase inclusivity and belonging. On the first day of the course we discuss why we use this strategy, explicitly referencing the Eddy, Brownell and Wenderoth (8) finding that males volunteer answers more often than females.
In order to make random call less threatening, we use a highly structured process following many of the principles outlined by Waugh and Andrews (9). Students work on the question once on their own, then with a group so they have had time to think and discuss the question. We use inclusive language by asking about the process, not for the answer: “Student X, what was your group discussing?” or “What were your group’s thoughts?” We frame random call on the first day of the course as being the start of a discussion, not an assessment of a particular student. Students with extreme anxiety are able to opt-out of the random call list and we do not assign any credit for answering or not answering the call. 
In order to accurately refer to students we have a pre-course survey in which we obtain each student’s preferred name and pronoun.
To support issues of identity and belonging in the classroom, we frequently use short, unscripted statements to reinforce all students’ rightful presence in the course and each students’ intrinsic value. We openly acknowledge that students frequently feel “imposter” syndrome and encourage them to seek study groups or help from staff.
On the first day of class, we have shared our own academic stories of “feeling like a failure” to normalize the fact that we all struggle and can still succeed.
We use positive language to frame student responses and encourage continued discussion.
Our institution has a service contract with Poll Everywhere so all students have free access to polling software. If an institution does not have this access, an equitable option could be to simply ask students to raise their hands or hand out index cards with letters or that are different colors so that students can raise the card that indicates their selection. One drawback to this method is that it can stigmatize students who have the incorrect selection, so students may lose a sense of belonging.",366,,,,2018?,15
A classroom intervantion to reduce confirmation bias,Https://doi.org/10.24918/cs.2022.7,Lesson,2022,science process skills,"bias, process of science, metacognition, confirmation bias, cognitive bias",yes,"This activity is open to all students, independent of academic background, identity, or major. Our class was a blend of hearing and deaf/hard-of-hearing (D/HH) students, and the discussions and activities were designed to encourage participation by all. D/HH students are supported in the classroom by campus-based access services, which may include sign language interpreters or real-time captionists, depending on the student’s needs and preferences. Because our course was targeted to first generation and D/HH students (21), early in the course the students were all given instructions and modeled behavior of how to support an inclusive learning environment for individuals with disabilities.

The puzzle activity includes two roles – a guesser and a teller, and students are allowed to select the role in which they are most comfortable. The use of this intervention supports the development of metacognitive skills, particularly monitoring one's own learning. Aspects of identity, including being aware of ways in which reasoning and identity intersect, can be included in classroom discussions. The controversial topics themselves often lead to discussions in the classroom around diversity, and cultural or political diversity in particular. For example, one of the topics discussed in our classroom is hydrofracking, and the discussion about the pros and cons of this method for extracting energy often shifts to political and rural/urban differences in how this topic is viewed and how information about its utility and safety is presented. Modeling respectful behavior and active listening (28) is incorporated throughout the course.
",243,,,,2017?,21
A How to Guide and Template for Designing a Puzzle Based Escape Room Game,Https://doi.org/10.24918/cs.2022.8,Teaching Tools and Strategies,2022,"Biochemistry and Molecular Biology, Bioinformatics, Ecology, Evolution, Genetics, Science Process Skills","Problem Solving, Collaborative Work, Correct Misconceptions",Yes,"As this activity is based on group work, it helps to foster a learning community within each group and promotes the exchange of ideas and collaboration. Using randomized groups also helps students to hear perspectives that they may not usually hear.
",41,,,,2016?,23
Gender and Classroom Participation: A Case for Quantitative Analysis,Https://doi.org/10.24918/cs.2022.9,Lesson,2022,science process skills,"statistics, gender, population, Proportion, Sample, Equality",Yes,"The topic of the paper is about the inclusion of women in class discussions, and so naturally the students considered their own experience in the current classroom environment in addition to the context described in Norway in the paper. The instructor can ask the students whether the same situation holds for their own classes based on their observations. The implications of the paper sparked debate about sexism in political science and in STEM, and so it is important to prepare for this by stressing that as instructors, we strive to create inclusive environments in which everyone is comfortable contributing. No matter a student’s subjective opinion about the implications of the paper, everyone can participate and answer the research questions posed by the paper with the data provided. Also, inherent to this work is the question whether gender is a binary variable. However, the ethics of this nature of research can also be something addressed in class. If the instructor is not feeling prepared to discuss such a highly politicized issue, they can note that in this case, the researcher uses “gender” to mean “sex.” In fact, in most government or healthcare facilities collected data up until now the variable “gender” only assumes two values: male and female, meaning that they actually mean “sex.”
",213,,,,2015?,18
Making Change Sustainable: Network for Integrating Bioinformatics into Life Sciences Education (NIBLSE) Meeting Review,Https://doi.org/10.24918/cs.2022.10,Review,2022,Bioinformatics,"meeting, sustainability, fmn, NIBLSE, incubator",yes,Resources recommended by NIBLSE include instructor resources to engage students from varied backgrounds. Our goal with introductory resources in particular is to assist instructors with little or no bioinformatics expertise with integration of bioinformatics into biology courses for students with varied backgrounds. We make an effort to include instructors with little or no bioinformatics experience in incubators and FMNs,59,,,,2014,17
