allwords,Carrie,uniquedeirelated,534
lesson,,FALSE,
designed,,FALSE,
introduce,,FALSE,
re,,FALSE,
students,JEDI,FALSE,
importance,,FALSE,
diversity,JEDI,TRUE,
science,,FALSE,
well,,FALSE,
help,,FALSE,
humanize,JEDI,FALSE,
researchers,,FALSE,
used,,FALSE,
active,JEDI,FALSE,
learning,,FALSE,
make,,FALSE,
teaching,,FALSE,
classroom,,FALSE,
activities,,FALSE,
inclusive,JEDI,TRUE,
possible,,FALSE,
see,,FALSE,
challenged,,FALSE,
uncover,,FALSE,
understandings,,FALSE,
can,,FALSE,
research,,FALSE,
time,,FALSE,
allowing,,FALSE,
learn,,FALSE,
area,,FALSE,
particularly,,FALSE,
interested,,FALSE,
directly,,FALSE,
approached,,FALSE,
questions,,FALSE,
bias,JEDI,TRUE,
inclusion,JEDI,TRUE,
stem,,FALSE,
discussions,,FALSE,
reflecting,JEDI,FALSE,
social,JEDI,FALSE,
aspects,,FALSE,
education,,FALSE,
related,,FALSE,
interests,JEDI,FALSE,
interviews,,FALSE,
asked,,FALSE,
personal,JEDI,FALSE,
journeys,JEDI,FALSE,
struggles,JEDI,FALSE,
uncovered,,FALSE,
elements,,FALSE,
humanity,JEDI,FALSE,
faculty,,FALSE,
instructors,,FALSE,
might,,FALSE,
not,,FALSE,
otherwise,,FALSE,
learned,,FALSE,
student,,FALSE,
engagement,JEDI,TRUE,
facilitated,,FALSE,
ensure,,FALSE,
able,,FALSE,
contribute,,FALSE,"""enables students to contribute"" - no. 1, ""Because every student participates, this inclusion helps shy students voice their opinions when it is their turn to contribute"" - no. 27, ""students are contributing...student contributions...group contributions"" - no. 30, no. 106 (talks about acesibility and contribution)"
verbally,,FALSE,
think,,FALSE,
pair,,FALSE,
share,,FALSE,
writing,,FALSE,
via,,FALSE,
quick,,FALSE,
writes,,FALSE,
variety,,FALSE,
different,,FALSE,
roles,,FALSE,
producing,,FALSE,
giving,,FALSE,
feedback,,FALSE,
revising,,FALSE,
within,,FALSE,
small,,FALSE,
groups,,FALSE,
intended,,FALSE,
participate,,FALSE,
fully,JEDI,FALSE,
using,,FALSE,
skills,,FALSE,
strengths,JEDI,FALSE,
accordance,,FALSE,
principles,,FALSE,
laid,,FALSE,
kimberly,,FALSE,
tanner,,FALSE,
employed,,FALSE,
low,,FALSE,
stakes,,FALSE,
collaborative,JEDI,TRUE,
strategies,,FALSE,
facilitate,,FALSE,
group,,FALSE,
work,,FALSE,
careful,,FALSE,
sure,,FALSE,
conceived,,FALSE,
norms,,FALSE,
applied,,FALSE,
revisited,,FALSE,
throughout,,FALSE,
course,,FALSE,
especially,,FALSE,
important,,FALSE,
equity,JEDI,TRUE,
introduced,,FALSE,
challenging,,FALSE,
descriptions,,FALSE,
gender,JEDI,FALSE,
racial,JEDI,TRUE,
encountered,,FALSE,
choice,,FALSE,
interest,JEDI,FALSE,
drive,,FALSE,
motivation,JEDI,FALSE,
ownership,,FALSE,
wide,,FALSE,
range,,FALSE,
topics,,FALSE,
explore,,FALSE,
anything,,FALSE,
fell,,FALSE,
flexible,,FALSE,
rubric,,FALSE,
natural,,FALSE,
including,,FALSE,
physical,,FALSE,
life,,FALSE,
sciences,,FALSE,
based,,FALSE,
scientific,,FALSE,
formed,,FALSE,
previous,,FALSE,
worked,,FALSE,
thus,,FALSE,
became,,FALSE,
immediately,,FALSE,
clear,,FALSE,
participants,,FALSE,
explicitly,,FALSE,
addresses,,FALSE,
identity,JEDI,TRUE,
plays,,FALSE,
scientists,,FALSE,
lives,JEDI,FALSE,
participation,,FALSE,
explored,,FALSE,
still,,FALSE,
universal,JEDI,FALSE,"""universal design"" - no. 100, ""universal design principles"" - no. 136, ""universal design for learning principles"" - no. 148, ""Universal Design for Learning (UDL)"" no. 246, Udl 3.4, 7.1, 7.3 - no. 254,"
providing,,FALSE,
also,,FALSE,
gained,,FALSE,
agency,JEDI,FALSE,
self,,FALSE,
efficacy,JEDI,FALSE,
exploration,,FALSE,
inherent,,FALSE,
plan,,FALSE,
acknowledge,,FALSE,
prohibitively,,FALSE,
difficult,,FALSE,
extracurricular,,FALSE,
pressures,,FALSE,
responsibilities,,FALSE,
commutes,JEDI,FALSE,
family,JEDI,FALSE,
therefore,,FALSE,
recommend,,FALSE,
smaller,,FALSE,
rather,,FALSE,
larger,,FALSE,
better,,FALSE,
find,,FALSE,
times,,FALSE,
meet,,FALSE,
outside,,FALSE,
class,,FALSE,
forming,,FALSE,
heterogeneity,,FALSE,
mind,,FALSE,
levels,,FALSE,
experience,,FALSE,
competency,,FALSE,
regard,,FALSE,
subject,,FALSE,
matter,,FALSE,
underrepresented,JEDI,TRUE,
backgrounds,JEDI,TRUE,
identities,JEDI,TRUE,
whenever,,FALSE,
one,,FALSE,
representative,,FALSE,
background,JEDI,TRUE,
prevent,,FALSE,
feelings,JEDI,FALSE,
isolation,JEDI,FALSE,
poppitmeiosis,,FALSE,
adaptable,,FALSE,
curricula,,FALSE,
widest,,FALSE,
circumstances,,FALSE,
lecture,,FALSE,
seminar,,FALSE,
laboratory,,FALSE,
setting,,FALSE,
home,,FALSE,
situation,,FALSE,
employs,,FALSE,
instructional,,FALSE,
materials,,FALSE,
easily,,FALSE,
widely,,FALSE,
available,,FALSE,
pace,,FALSE,
depth,,FALSE,
depending,,FALSE,
individual,JEDI,TRUE,
needs,JEDI,FALSE,""" In terms of assessments, the small homework assignments are designed to help the students gather and organize the information that needs to be incorporated into the lab report.."" - no. 185, ""while setting up the experiment, instructors must keep in mind time constraints, transportation needs, and mobility limitations that might affect students"" - no. 176, ""Lastly, the instructor needs to make sure that the individualized feedback that the students receive on both of the formative assessments is thoughtful, constructive, and well-explained."" - no. 150"
abilities,JEDI,TRUE,
styles,,FALSE,
encourages,JEDI,FALSE,
understanding,,FALSE,
chromosomes,,FALSE,
meiosis,,FALSE,
challenge,,FALSE,
generations,,FALSE,
educators,,FALSE,
hands,JEDI,FALSE,
approach,,FALSE,
inviting,,FALSE,
virtually,,FALSE,
offers,,FALSE,
ways,,FALSE,
quickly,,FALSE,
engage,JEDI,TRUE,
material,,FALSE,
hand,,FALSE,
encouraged,,FALSE,
talk,,FALSE,
listen,JEDI,FALSE,
interact,JEDI,FALSE,
task,,FALSE,
naturally,,FALSE,
creates,,FALSE,
atmosphere,JEDI,FALSE,
improves,,FALSE,
thereby,,FALSE,
enhances,,FALSE,
appreciation,,FALSE,"""PoppitMeiosis thus naturally creates an atmosphere that improves understanding of meiosis and thereby enhances appreciation of the significance of meiosis"" - no. 285, "" This course is taught under the context of microevolution and does not infringe on religious beliefs related to macroevolution. Finally, by discussing how diversity provides source material upon which natural selection can act, the course content fosters appreciation for the value of existing diversity in a population for the overall fitness of that species."" - no. 263, no. 41"
significance,,FALSE,
relates,,FALSE,
sexually,,FALSE,
reproducing,,FALSE,
organisms,,FALSE,
plants,,FALSE,
animals,,FALSE,
humans,JEDI,FALSE,
approachable,,FALSE,
accessible,JEDI,TRUE,
broad,,FALSE,
learners,,FALSE,
order,,FALSE,
expose,,FALSE,
high,,FALSE,
throughput,,FALSE,
datasets,,FALSE,
potential,,FALSE,
case,,FALSE,
studies,,FALSE,
adapted,,FALSE,
courses,,FALSE,
formats,,FALSE,
implemented,,FALSE,
series,,FALSE,
